,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,MAPK3,RIPK2,NFKB1,HSDL2,EPHX2
GSM1621719,0.105741104,0.218510118,0.214328008,7.778566656,6.234270276,9.272956363,7.494718287,7.403185302
GSM1621720,-0.076958307,-0.044578411,0.125547183,8.414252088,4.956413734,8.454428071,8.300972589,9.765257235
GSM1621724,0.10166893,0.070843242,0.202923881,8.034743259,5.144321118,8.949303822,8.569536685,10.18842033
GSM1621726,-0.026034173,-0.005994606,0.178296621,8.030715987,5.180482214,9.077797817,8.030922471,9.677220285
GSM1621729,-0.109123482,0.107431234,0.168811256,7.475652394,6.443661902,9.309545306,7.433016583,8.665049536
GSM1621731,0.254673275,0.259167776,0.273537029,7.248194763,7.199336254,9.74480091,7.096818361,6.050977789
GSM1621733,0.312514497,0.318858267,0.268585365,6.649410868,8.119502101,9.843925924,7.256459476,5.77252992
GSM1621734,0.053828189,0.145694973,0.20978405,8.108562525,5.253826273,9.156597302,7.678844049,8.775759768
GSM1621738,-0.04042188,0.131246043,0.175742711,7.892406213,5.371751968,8.833689811,8.009992701,8.476997575
GSM1621739,-0.068948604,0.192989688,0.159417359,7.213850574,6.353439229,8.659053977,8.056137482,8.418960565
GSM1621742,0.163180399,0.215067443,0.262561269,7.652891821,5.733516974,8.826464352,7.845440585,7.653382589
GSM1621743,0.083494005,0.134405087,0.238945434,7.797795055,5.878941915,9.052467078,7.803499507,8.290530948
GSM1621747,0.204477494,0.278053382,0.27920471,7.071769664,5.996568108,9.170566745,7.512922991,7.197713572
GSM1621750,0.287232752,0.232420075,0.303245103,7.531262947,6.257660622,9.237131788,7.42282386,7.419810792
GSM1621753,1.83E-05,0.015544876,0.120887368,7.560794454,5.447523978,8.891943252,7.973827464,9.047915447
GSM1621758,0.166629081,0.177318865,0.24086752,8.217796073,5.146486064,8.937443293,8.25428758,9.504990609
GSM1621759,0.034735249,-0.005025668,0.203373218,8.374429762,5.098068136,8.80300536,8.072983948,9.48053964
GSM1621761,0.025504107,0.066738096,0.198455006,7.900359413,4.553150543,8.698716781,8.587433528,10.14886772
GSM1621762,0.236032836,0.204984594,0.210490426,7.437088251,5.910164327,9.109824091,7.158083243,7.314301707
GSM1621765,0.101899116,0.216177653,0.222539638,7.675678383,6.612331787,8.987285299,7.61163746,7.292869103
GSM1621766,-0.051965828,-0.004932346,0.115510251,7.713830777,5.663799884,9.169161332,7.65552662,8.948331247
GSM1621769,0.154922889,0.198295544,0.245350205,7.505337486,5.989046445,9.042405195,7.143202414,7.304140294
GSM1621770,0.089782166,0.149195901,0.187290497,7.758975719,5.030345605,9.274406343,8.677505951,9.044032662
GSM1621773,0.008031021,0.066786572,0.165238172,7.869910812,5.04555595,9.067289512,7.741814502,9.510445109
GSM1621778,-0.017671709,0.02732373,0.172525985,7.844059939,4.995281782,8.928119805,7.67509708,8.818704601
GSM1621781,-0.04796988,-0.020879248,0.127756707,8.056867098,5.189010387,9.095440507,8.134297133,9.126772928
GSM1621785,-0.001534618,0.152176946,0.208963316,8.080667505,5.970567091,8.837004748,7.944445333,7.663640605
GSM1621786,0.143884146,0.203165667,0.270261006,7.815047366,6.353439229,9.108548122,7.537679423,6.90654834
